  d            Bxx          Bxxerr       Byy          Byyerr       Bxxxx        Bxxxxerr     Byyxx        Byyxxerr     Bxyxy        Bxyxyerr     Cxxxx        Cxxxxerr     Cyyxx        Cyyxxerr     Cxyxy        Cxyxyerr     nu           nuerr
  4.70000000  -0.12704615   0.00000000  -0.12704615   0.00000000   0.48125333   0.00000003   0.31793254   0.00000005   0.08166036   0.00000081   0.60829948   0.00000003   0.19088639   0.00000005   0.20870650   0.00000081   0.91461643   0.00000381
  4.80000000  -0.11117413   0.00000000  -0.11117413   0.00000000   0.42860631   0.00000039   0.28151383   0.00000035   0.07354603   0.00000004   0.53978044   0.00000039   0.17033971   0.00000035   0.18472016   0.00000004   0.92215008   0.00000209
  4.90000000  -0.09735775   0.00000000  -0.09735775   0.00000000   0.38196060   0.00000072   0.24939640   0.00000080   0.06628206   0.00000075   0.47931834   0.00000072   0.15203865   0.00000080   0.16363981   0.00000075   0.92910555   0.00000915
  5.00000000  -0.08531880   0.00000000  -0.08531880   0.00000000   0.34058596   0.00000027   0.22104860   0.00000025   0.05976859   0.00000125   0.42590476   0.00000027   0.13572980   0.00000026   0.14508738   0.00000125   0.93550381   0.00000983
  5.10000000  -0.07481888   0.00000000  -0.07481888   0.00000000   0.30384977   0.00000065   0.19601064   0.00000057   0.05391961   0.00000005   0.37866865   0.00000065   0.12119176   0.00000057   0.12873849   0.00000005   0.94137938   0.00000479
  5.20000000  -0.06565326   0.00000000  -0.06565326   0.00000000   0.27120389   0.00000002   0.17388155   0.00000001   0.04866122   0.00000003   0.33685715   0.00000002   0.10822829   0.00000001   0.11431448   0.00000003   0.94675923   0.00000039
  5.30000000  -0.05764581   0.00000000  -0.05764581   0.00000000   0.24216979   0.00000072   0.15431259   0.00000070   0.04392901   0.00000002   0.29981560   0.00000072   0.09666678   0.00000070   0.10157482   0.00000003   0.95168049   0.00000709
  5.40000000  -0.05064475   0.00000000  -0.05064475   0.00000000   0.21633075   0.00000059   0.13699763   0.00000050   0.03966684   0.00000051   0.26697549   0.00000059   0.08635289   0.00000050   0.09031159   0.00000051   0.95616623   0.00001095
  5.50000000  -0.04451905   0.00000000  -0.04451905   0.00000000   0.19332002   0.00000042   0.12167024   0.00000044   0.03582533   0.00000036   0.23783908   0.00000042   0.07715118   0.00000044   0.08034439   0.00000036   0.96025603   0.00000977
  5.60000000  -0.03915551   0.00000000  -0.03915551   0.00000000   0.17281676   0.00000012   0.10809548   0.00000012   0.03236067   0.00000014   0.21197227   0.00000012   0.06893997   0.00000012   0.07151618   0.00000014   0.96397731   0.00000356
  5.70000000  -0.03445613   0.00000000  -0.03445613   0.00000000   0.15453777   0.00000012   0.09606819   0.00000013   0.02923423   0.00000044   0.18899389   0.00000012   0.06161206   0.00000013   0.06369036   0.00000044   0.96736876   0.00000864
  5.80000000  -0.03033601   0.00000000  -0.03033601   0.00000000   0.13823375   0.00000020   0.08540774   0.00000021   0.02641317   0.00000001   0.16856976   0.00000020   0.05507173   0.00000021   0.05674918   0.00000001   0.97044103   0.00000381
  5.90000000  -0.02672152   0.00000000  -0.02672152   0.00000000   0.12368536   0.00000037   0.07595448   0.00000034   0.02386555   0.00000003   0.15040688   0.00000037   0.04923296   0.00000034   0.05058707   0.00000003   0.97323219   0.00000720
  6.00000000  -0.02355008   0.00000037  -0.02355009   0.00000037   0.11072481   0.00018904   0.06759288   0.00018673   0.02156595   0.00000006   0.13427490   0.00018941   0.04404280   0.00018710   0.04511604   0.00000044   0.97621158   0.00415659
