#  d            Bxx          Bxxerr       Byy          Byyerr       Bxxxx        Bxxxxerr     Byyxx        Byyxxerr     Bxyxy        Bxyxyerr     Cxxxx        Cxxxxerr     Cyyxx        Cyyxxerr     Cxyxy        Cxyxyerr     nu           nuerr
  2.10000000 -11.80229962   0.00002317 -11.80235148   0.00000987 151.93816806   0.01181611  14.78015215   0.00503529  -4.15856679   0.66324040 163.74046767   0.01183928   2.97785253   0.00505846   7.64373283   0.66326356   0.38958093   0.03446658
  4.70000000  -0.08367794   0.00000015  -0.08367790   0.00000015   0.41917821   0.00007505   0.12513350   0.00007466  -0.03721475   0.00091936   0.50285615   0.00007520   0.04145556   0.00007481   0.04646319   0.00091950   0.89222379   0.01926711
  4.80000000  -0.07289543   0.00000013  -0.07289557   0.00000013   0.37225720   0.00006518   0.10886647   0.00006828  -0.03426692   0.00120263   0.44515264   0.00006531   0.03597104   0.00006840   0.03862851   0.00120276   0.93120455   0.03076538
  4.90000000  -0.06355747   0.00000017  -0.06355752   0.00000013   0.33080592   0.00008748   0.09472788   0.00006741  -0.02970697   0.00133312   0.39436339   0.00008765   0.03117041   0.00006758   0.03385050   0.00133329   0.92082578   0.03826554
  5.00000000  -0.05546161   0.00000005  -0.05546159   0.00000011   0.29422872   0.00002587   0.08247226   0.00005755  -0.02909733   0.00159909   0.34969033   0.00002592   0.02701065   0.00005760   0.02636428   0.00159914   1.02451712   0.06432750
  5.10000000  -0.04843568   0.00000007  -0.04843567   0.00000006   0.26186636   0.00003558   0.07178930   0.00002973  -0.02489275   0.00094994   0.31030203   0.00003565   0.02335363   0.00002980   0.02354292   0.00095001   0.99195948   0.04129336
  5.20000000  -0.04233221   0.00000006  -0.04233223   0.00000007   0.23314288   0.00003307   0.06255504   0.00003670  -0.02097336   0.00110406   0.27547509   0.00003313   0.02022283   0.00003676   0.02135885   0.00110412   0.94681256   0.05066582
  5.30000000  -0.03702491   0.00000008  -0.03702486   0.00000005   0.20763979   0.00003855   0.05450467   0.00002629  -0.01957002   0.00126426   0.24466470   0.00003863   0.01747975   0.00002636   0.01745489   0.00126434   1.00142432   0.07404825
  5.40000000  -0.03240585   0.00000007  -0.03240589   0.00000007   0.18508682   0.00003645   0.04747339   0.00003375  -0.01848260   0.00130128   0.21749267   0.00003653   0.01506754   0.00003382   0.01392324   0.00130135   1.08218633   0.10357681
  5.50000000  -0.02838255   0.00000004  -0.02838253   0.00000007   0.16502073   0.00002158   0.04142346   0.00003400  -0.01640138   0.00147905   0.19340328   0.00002162   0.01304091   0.00003404   0.01198117   0.00147909   1.08845058   0.13721205
  5.60000000  -0.02487500   0.00000005  -0.02487501   0.00000005   0.14716592   0.00002623   0.03612080   0.00002586  -0.01426369   0.00065650   0.17204092   0.00002628   0.01124580   0.00002591   0.01061131   0.00065656   1.05979402   0.06801462
  5.70000000  -0.02181485   0.00000004  -0.02181485   0.00000005   0.13130985   0.00002018   0.03153755   0.00002579  -0.01320393   0.00069765   0.15312470   0.00002022   0.00972269   0.00002583   0.00861093   0.00069769   1.12911143   0.09448524
  5.80000000  -0.01914300   0.00000017  -0.01914295   0.00000018   0.11724720   0.00008613   0.02751040   0.00008998  -0.01120608   0.00075865   0.13639020   0.00008630   0.00836740   0.00009015   0.00793692   0.00075882   1.05423782   0.11214972
  5.90000000  -0.01680911   0.00000004  -0.01680914   0.00000007   0.10467295   0.00001815   0.02403915   0.00003616  -0.00983238   0.00034746   0.12148206   0.00001818   0.00723004   0.00003620   0.00697673   0.00034750   1.03630747   0.05680461
  6.00000000  -0.01476751   0.00000004  -0.01476755   0.00000005   0.09349630   0.00002047   0.02099156   0.00002549  -0.00905454   0.00052751   0.10826381   0.00002051   0.00622405   0.00002553   0.00571297   0.00052755   1.08945874   0.10507273
